arquivo,grupo,extensao,existe_fs,tamanho_bytes
relatorios/atuais/limpeza_atuais/decisao_suporte_tecnico_recente_relatorios_atuais.csv,relatorios/atuais/limpeza_atuais,.csv,True,6374
relatorios/atuais/limpeza_atuais/indice_material_consolidavel_relatorios_atuais.csv,relatorios/atuais/limpeza_atuais,.csv,True,101272
relatorios/atuais/limpeza_atuais/inventario_relatorios_atuais_classificado.csv,relatorios/atuais/limpeza_atuais,.csv,True,21395
relatorios/atuais/limpeza_estrutura/RESUMO_AUDITORIA_ESTRUTURAL_PASTAS.md,relatorios/atuais/limpeza_estrutura,.md,True,2329
relatorios/atuais/limpeza_estrutura/RESUMO_INVENTARIO_BASELINES_HISTORICAS.md,relatorios/atuais/limpeza_estrutura,.md,True,2667
relatorios/atuais/limpeza_estrutura/RESUMO_INVENTARIO_ESTRUTURAS_HISTORICAS.md,relatorios/atuais/limpeza_estrutura,.md,True,881
relatorios/atuais/limpeza_estrutura/RESUMO_INVENTARIO_RELATORIOS_HISTORICO.md,relatorios/atuais/limpeza_estrutura,.md,True,1215
relatorios/atuais/limpeza_estrutura/RESUMO_INVENTARIO_VALIDACOES_HISTORICAS.md,relatorios/atuais/limpeza_estrutura,.md,True,754
relatorios/atuais/limpeza_estrutura/auditoria_refinada_historico_saida_propria_v203.csv,relatorios/atuais/limpeza_estrutura,.csv,True,19353
relatorios/atuais/limpeza_estrutura/auditoria_saidas_diagnostico.csv,relatorios/atuais/limpeza_estrutura,.csv,True,3129
relatorios/atuais/limpeza_estrutura/inventario_pastas_profundidade_1.csv,relatorios/atuais/limpeza_estrutura,.csv,True,1080
relatorios/atuais/limpeza_estrutura/inventario_pastas_profundidade_2.csv,relatorios/atuais/limpeza_estrutura,.csv,True,3511
relatorios/atuais/limpeza_estrutura/inventario_pastas_profundidade_3.csv,relatorios/atuais/limpeza_estrutura,.csv,True,5109
relatorios/atuais/limpeza_estrutura/inventario_relatorios_historico_baselines.csv,relatorios/atuais/limpeza_estrutura,.csv,True,52608
relatorios/atuais/limpeza_estrutura/status_local_ignorados_estrutura.txt,relatorios/atuais/limpeza_estrutura,.txt,True,2323
relatorios/atuais/limpeza_scripts/RESUMO_AUDITORIA_REFINADA_CANDIDATOS_REMOCAO.md,relatorios/atuais/limpeza_scripts,.md,True,980
relatorios/atuais/limpeza_scripts/RESUMO_INVENTARIO_SCRIPTS_DIAGNOSTICO.md,relatorios/atuais/limpeza_scripts,.md,True,1184
relatorios/atuais/limpeza_scripts/auditoria_referencias_candidatos_remocao.csv,relatorios/atuais/limpeza_scripts,.csv,True,35811
relatorios/atuais/limpeza_scripts/auditoria_refinada_referencias_candidatos_remocao.csv,relatorios/atuais/limpeza_scripts,.csv,True,8184
relatorios/atuais/limpeza_scripts/auditoria_wrappers_temporal_decisao.csv,relatorios/atuais/limpeza_scripts,.csv,True,2285
relatorios/atuais/limpeza_scripts/candidatos_remocao_scripts_diagnostico.csv,relatorios/atuais/limpeza_scripts,.csv,True,7559
relatorios/atuais/limpeza_scripts/inventario_scripts_diagnostico.csv,relatorios/atuais/limpeza_scripts,.csv,True,17502
