pagamento_id,data_pagamento_motor,descricao_motor,valor_motor,lote_recomendado_motor,lote_final_central,lote_sugerido_extrato,estrategia_recomendada_motor,estrategia_extrato,cobertura_integral_recomendada_motor,pagamento_totalmente_coberto_central,cobertura_integral_extrato,saldo_residual_temporal_motor,saldo_remanescente_central,saldo_remanescente_extrato,necessidade_switching_motor,necessita_switching_extrato,origem_mista_detectada,divergencia_lote_motor_central,divergencia_lote_motor_extrato,divergencia_lote_central_extrato,divergencia_estrategia_motor_extrato,divergencia_cobertura_motor_central,divergencia_cobertura_motor_extrato,divergencia_cobertura_central_extrato,divergencia_saldo_motor_central,divergencia_saldo_motor_extrato,divergencia_saldo_central_extrato,divergencia_switching_motor_extrato,fonte_de_verdade_operacional,precedencia_entre_camadas
despesa_auto_00165,2026-12-08,Claro,120.0,saldo_disponivel_geral,saldo_disponivel_geral,saldo_disponivel_geral,sem_switching,sem_switching,sim,sim,sim,0.0,90875.1,90875.1,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00166,2026-12-09,Pelada,50.0,Lote 5680 jul.,Lote 5680 jul.,Lote 5680 jul.,sem_switching,sem_switching,sim,sim,sim,0.0,6.63,6.63,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00167,2026-12-09,Tratamento Lara,530.0,Lote 8500 mar.,Lote 8500 mar.,Lote 8500 mar.,sem_switching,sem_switching,sim,sim,sim,0.0,1019.75,1019.75,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00168,2026-12-10,Ginástica Biola,65.0,Lote 7000 nov.,Lote 7000 nov.,Lote 7000 nov.,sem_switching,sem_switching,sim,sim,sim,0.0,40.0,40.0,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00169,2026-12-11,Aluguel,981.95,Lote 5680 dez.,Lote 5680 dez.,Lote 5680 dez.,sem_switching,sem_switching,sim,sim,sim,0.0,4698.05,4698.05,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00170,2026-12-11,Cemig,95.12,saldo_disponivel_geral,saldo_disponivel_geral,saldo_disponivel_geral,sem_switching,sem_switching,sim,sim,sim,0.0,90779.98,90779.98,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00171,2026-12-11,Escola,2831.4,Lote 5680 nov.,Lote 5680 nov.,Lote 5680 nov.,sem_switching,sem_switching,sim,sim,sim,0.0,968.6,968.6,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00172,2026-12-11,Rematricula,2900.0,Lote 5680 dez.,Lote 5680 dez.,Lote 5680 dez.,sem_switching,sem_switching,sim,sim,sim,0.0,1798.05,1798.05,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00173,2026-12-12,Internet,132.4,Lote 3000 mar. B,Lote 3000 mar. B,Lote 3000 mar. B,sem_switching,sem_switching,sim,sim,sim,0.0,417.47,417.47,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00174,2026-12-20,Cartão Azul,6250.0,Lote 7000 dez.,Lote 7000 dez.,Lote 7000 dez.,sem_switching,sem_switching,sim,sim,sim,0.0,750.0,750.0,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
